birth_date,height,weight,prize_money,dominant_hand,backhand,forehand
1992-10-31,1.62,,85782.0,right,double,
1986-08-10,1.74,,3270633.0,,,
1968-01-15,,,145767.0,,,
1965-06-04,1.6764000000000001,,1379065.0,right,double,
1985-04-26,1.74,,112829.0,right,double,double
1987-09-09,1.8,,5779256.0,right,double,
1980-02-29,,,289443.0,right,double,
1972-05-28,1.75,,504157.0,,,
1966-04-26,1.82,,1162635.0,right,double,
1986-02-05,1.91,,1507086.0,left,double,
1987-03-22,1.9,,1622559.0,right,double,
1958-03-08,1.75,,391562.0,right,single,
1984-02-21,1.91,,7558621.0,right,double,
1981-07-21,2.06,,239351.0,right,,
1981-02-19,1.8,,1371733.0,left,double,
1973-10-06,1.7,,421040.0,left,double,
1991-09-22,1.75,,602458.0,right,double,
1970-07-04,1.8,,2260051.0,right,,
1985-09-10,,,55180.0,right,,double
1988-08-28,,,16546.0,right,double,
1983-07-19,,,48213.0,,,
1971-06-23,1.83,,185632.0,left,,
1966-04-15,1.85,,3208620.0,right,double,
1974-01-27,1.82,,5123329.0,right,single,
1996-07-01,1.7,62000.0,942.0,right,single,
1977-01-09,1.77,,732336.0,right,,
1991-05-28,1.85,,57466.0,right,double,
1982-08-22,1.96,,24209.0,right,,
1989-09-20,1.8,72000.0,406256.0,right,double,
1986-03-13,1.75,,840575.0,right,double,
1966-03-10,1.8,,188934.0,right,,
1983-04-08,1.93,79000.0,54889.0,right,,
1963-11-15,1.905,76203.51816,344338.0,right,single,
1970-10-24,,,1113285.0,right,,
1972-03-16,1.9,80000.0,168329.0,right,,
1976-04-18,1.8,,1327838.0,right,single,
1975-07-18,,,80468.0,right,,
1974-03-14,,94802.4,246675.0,left,,
1967-05-25,1.75,73000.0,419995.0,right,,
1993-08-11,,,137057.0,right,double,
1987-07-22,1.85,,2526051.0,right,single,
1991-02-22,1.85,,1484853.0,right,double,
1997-10-20,1.88,,229679.0,right,double,
1989-08-11,,,81244.0,right,double,
1974-08-31,1.93,90000.0,6721560.0,right,double,
1994-08-08,,,31546.0,right,double,
1982-05-29,1.93,,445700.0,right,,
1987-04-12,1.74,,106213.0,right,double,
1977-05-06,1.85,,2416038.0,right,double,
1993-09-14,,,32892.0,right,double,
1960-02-27,1.93,84000.0,4385130.0,left,single,
1988-03-15,,,253793.0,right,double,
1976-04-08,,,217041.0,right,single,
1959-08-17,1.524,,169395.0,left,,
1987-05-15,1.91,,4.3601346E7,right,double,
1980-04-10,1.8,82000.0,2593432.0,right,single,
1982-08-30,1.88,,2.064003E7,right,double,
1995-12-24,1.74,,478703.0,right,double,
1991-08-24,1.7,,4608.0,,,
1984-09-27,1.524,,492625.0,left,double,
1977-06-08,1.72,,371951.0,right,,
1988-12-07,,,71853.0,,,
1988-01-18,1.73,,1.1865558E7,left,double,
1984-12-12,1.73,,533037.0,right,double,
1991-02-20,,,54431.0,,,
1997-02-07,,,68755.0,,,
1993-10-09,1.68,,31225.0,,,
1987-06-15,,,77170.0,right,double,
1983-11-11,1.73,,490850.0,right,double,
1994-06-27,,,21187.0,,,
1985-12-11,,,41257.0,,,
1974-12-04,1.73,,4768292.0,right,double,
1986-10-28,,,62691.0,right,double,
1993-01-11,,,64023.0,right,double,
1959-10-31,,,632777.0,,,
1994-02-01,1.74,,726481.0,right,double,
1985-06-04,1.8,,3414978.0,right,double,
1992-01-02,1.7,,20158.0,right,double,
1979-07-22,1.74,,108692.0,,,
1998-09-10,1.77,70000.0,3814.0,right,double,
1997-05-27,,,4933.0,,,
1991-10-04,1.65,,25796.0,right,double,
1987-03-05,1.71,63000.0,3909854.0,right,double,
1995-08-20,,,28305.0,,,
1989-04-06,,,96813.0,right,double,
1982-05-15,,,281752.0,left,double,
1974-08-22,1.65,55000.0,203326.0,right,double,
1987-10-15,,,85137.0,right,double,
1998-12-02,,,6517.0,,,
1994-09-13,1.76,,1321844.0,,,
1988-06-16,1.7,,107340.0,right,double,
1981-06-07,1.73,56000.0,3584662.0,right,double,
1986-10-24,1.72,,253680.0,right,double,
1977-01-22,,,25811.0,,,
1991-08-21,1.7,,54671.0,right,double,
1993-03-05,1.69,,16271.0,right,double,
1989-06-01,,,103705.0,right,double,
1976-07-16,1.57,,2274431.0,right,single,
1988-08-14,,,205140.0,right,double,
1994-09-01,,,16407.0,,,
1990-02-03,1.71,62000.0,1416094.0,right,double,
1989-03-28,1.72,61000.0,15621.0,right,single,
1991-06-25,,,67987.0,,,
1979-08-09,1.74,,72700.0,right,double,
1966-07-12,,,201254.0,,,
1982-11-15,,,47886.0,right,double,
1979-07-24,1.72,,1236925.0,left,single,
1959-08-21,1.68,63504.0,166045.0,right,,
1983-09-16,,62000.0,1257965.0,right,double,
1975-10-17,1.65,,1567313.0,right,double,
1963-04-03,,,682839.0,right,single,
1959-07-01,1.651,,1163494.0,right,single,
1985-08-28,,,72701.0,right,double,
1977-01-19,,,346726.0,,,
1994-02-16,1.69,,1471948.0,right,double,
1974-10-05,,,104129.0,,,
1982-01-05,1.524,,338622.0,right,,
1987-09-16,1.87,,101223.0,right,double,
1989-03-07,1.96,,116419.0,right,,
1987-07-22,1.8,,51365.0,right,double,
1980-07-25,1.68,59000.0,722547.0,right,double,
1996-08-13,1.85,,54995.0,,,
1984-12-31,,,94505.0,right,double,
1973-09-07,,,92509.0,right,,
1991-11-24,2.03,,275356.0,right,single,
1975-06-25,1.8,,7673478.0,right,single,
1980-11-26,1.75,,5651484.0,right,single,
1973-11-15,1.88,,2972441.0,right,double,
1988-01-17,1.88,,2478401.0,left,double,
1980-04-05,1.65,,1215900.0,right,single,
1973-06-28,1.72,,4676187.0,right,double,
1984-03-26,,,126204.0,right,,
1969-05-20,1.8,,1543120.0,right,single,
1978-08-20,1.75,,3840885.0,right,single,
1962-08-03,1.75,,200221.0,right,,
1992-05-11,1.62,,34779.0,right,double,
1987-12-21,1.93,84000.0,183342.0,right,double,
1994-07-24,,,1006.0,,,
1969-02-14,1.75,,143267.0,right,,
1983-11-14,1.85,,3006954.0,left,double,
1960-02-16,1.8,,151882.0,right,,
1989-02-07,1.9,83000.0,900406.0,right,double,
1991-08-14,1.88,,8181.0,right,double,
1970-07-31,1.83,,149180.0,right,,
1971-01-13,1.9,,618346.0,right,,
1987-02-15,1.93,,689591.0,right,double,
1993-03-15,1.67,,840118.0,right,double,
1977-12-08,,,278504.0,right,,
1998-04-22,,,3203.0,,,
1987-09-07,1.75,60000.0,1936158.0,right,double,
1992-02-29,,,101308.0,right,double,
1975-11-08,1.75,,236165.0,,,
1990-05-30,1.8,,249014.0,left,double,
1979-02-21,1.85,,156925.0,left,,
1963-08-04,1.75,,120206.0,right,,
1977-08-09,1.85,,812621.0,left,,
1966-02-08,1.88,,1024171.0,right,,
1984-05-22,1.83,74000.0,695395.0,left,single,
1983-04-23,1.78,70000.0,1946779.0,right,double,
1993-01-05,,,158811.0,left,double,
1999-02-17,,,5776.0,right,double,
1978-12-20,,72576.0,281041.0,right,,
1987-02-05,1.83,,862862.0,right,double,
1990-05-11,1.524,,12616.0,right,,
1970-07-13,1.85,88000.0,3535415.0,right,single,
1971-03-03,1.9304,,135419.0,right,,
1974-12-07,1.87,,698887.0,right,single,
1963-07-11,,73483.2,25847.0,,,
1989-09-10,1.8796,66000.0,722310.0,right,double,
1985-10-26,1.82,,764313.0,right,double,
1990-07-09,,,54860.0,left,,
1965-04-07,1.88,,830234.0,right,,
1980-06-27,1.82,76000.0,3324463.0,right,single,
1976-11-04,2.01,,976038.0,right,double,
1987-06-07,1.93,80000.0,94785.0,left,,
1990-04-03,1.8288,,47254.0,right,double,
1980-11-12,1.8,,238264.0,right,,
1986-03-06,1.85,,195456.0,right,,
1967-03-03,1.88,,3362786.0,left,double,
1990-04-30,,,97106.0,right,double,
1975-03-31,1.87,,1339987.0,right,single,
1997-04-20,1.98,,679009.0,right,double,
1988-11-07,1.8,,5433956.0,right,double,
1990-05-03,1.7,56000.0,732372.0,right,double,
1989-05-30,1.72,,1920164.0,right,double,
1973-11-22,1.76,,1608170.0,right,double,
1992-12-14,,,11068.0,,,
1988-02-14,1.8,,140025.0,right,double,
1993-09-01,1.65,,42721.0,right,single,
1989-03-02,1.79,,1036626.0,right,double,
1991-07-29,,,7754.0,right,double,
1980-12-15,1.85,,1430348.0,right,single,
1988-02-18,1.85,77000.0,402454.0,right,double,
1979-07-02,1.87,,394788.0,right,,
1980-08-08,1.91,,140988.0,right,,
1992-10-27,,,48917.0,right,double,
1983-03-31,,,30625.0,right,double,
1974-09-05,1.86,,29345.0,right,,
1987-09-14,,,170554.0,,,
1994-03-22,1.74,,446948.0,,,
1986-09-11,,,72711.0,right,double,
1978-04-30,1.73,,217781.0,right,double,
1995-09-29,,,40155.0,,,
1981-01-27,1.524,,3185805.0,right,single,
1985-12-01,1.66,,921944.0,right,double,
1977-01-18,1.68,,1128467.0,right,double,
1979-10-29,,,14958.0,right,,
1997-11-06,,,11318.0,right,double,
1989-07-15,1.81,72000.0,2475138.0,right,double,
1990-01-18,1.69,,108462.0,right,double,
1990-07-03,1.75,,1655286.0,right,double,
1994-03-26,1.79,,1025154.0,right,double,
1993-03-17,,,33599.0,right,double,
1990-01-22,1.73,,4524237.0,right,double,
1990-07-13,1.73,,272850.0,right,double,
1980-03-20,1.72,,59481.0,,,
1989-07-18,1.83,,1222526.0,right,double,
1987-11-03,1.78,,2716496.0,right,double,
1995-06-30,,,151395.0,,,
1991-04-20,,,74754.0,,,
1980-11-14,1.8,,168068.0,right,double,
1984-08-13,1.68,,2652437.0,right,double,
1989-07-05,,,37143.0,,,
1997-01-28,1.74,,4654.0,left,double,
1980-04-26,,,298154.0,right,,
1992-05-05,1.7,,53475.0,right,double,
1994-06-20,1.65,,2616.0,right,double,
1965-05-02,,,25580.0,,,
1990-05-16,,,93549.0,right,double,
1971-10-22,1.58,54000.0,5594821.0,right,double,
1989-11-01,,,60252.0,right,single,
1986-12-04,,,56351.0,,,
1976-02-11,1.67,,331012.0,right,,
1993-01-16,1.64,,277516.0,,,
1984-07-06,1.7,,112326.0,right,double,
1982-06-30,1.96,,935.0,right,single,
1988-02-18,1.8,,556771.0,right,double,
1988-11-23,,,70290.0,right,double,
1973-02-24,1.85,,1590813.0,right,single,
1980-01-30,,,14595.0,right,,
1982-11-09,1.76,61000.0,1974968.0,right,double,double
1990-12-13,1.8,,890863.0,left,double,
1971-12-18,1.69,,1.694264E7,right,double,
1991-07-12,1.7,,58643.0,right,double,
1987-03-14,1.65,,2805748.0,right,double,
1989-11-12,1.82,,46301.0,right,double,
1997-01-01,,,10321.0,right,double,
1989-12-15,1.68,,608019.0,right,double,
1985-03-05,,,193859.0,left,double,
1969-04-01,1.83,,3031247.0,right,single,
1977-12-17,1.72,72000.0,7125228.0,right,double,
1979-02-11,1.85,,1162796.0,right,single,
1971-01-01,1.88,,392142.0,right,,
1980-01-26,,,95261.0,right,,
1986-02-08,1.81,,359752.0,right,double,
1988-02-02,,,68170.0,,,
1943-07-10,1.8796,,1584909.0,right,single,
1992-03-27,1.8288,,119020.0,right,double,
1978-03-22,1.9304,78019.2,519643.0,right,,
1996-04-24,,,930986.0,right,double,
1975-09-25,1.83,,778883.0,right,single,
1985-05-02,1.524,,1022094.0,right,double,
1989-06-20,1.65,,165430.0,right,,
1992-02-19,1.6,,7454.0,right,double,
1991-04-04,1.73,,227030.0,right,double,
1993-09-04,,,107795.0,right,double,
1996-01-26,,,3061.0,right,double,
1989-09-01,1.82,,38694.0,,,
1989-09-27,1.82,74000.0,145600.0,right,double,
1976-02-05,1.83,,698823.0,right,single,
1986-04-21,1.524,,72901.0,right,double,
1985-02-01,1.75,,72858.0,right,double,
1983-08-10,1.8,,250639.0,right,double,
1981-02-08,,,232909.0,left,double,
1990-06-16,1.8288,,623562.0,left,,
1990-12-16,1.76,,253075.0,left,double,
1976-06-16,,,336815.0,right,double,
1995-06-21,1.7,,38271.0,right,double,
1997-08-13,1.7,,7184.0,right,double,
1996-07-15,,,14849.0,right,double,
1988-11-29,1.62,,90849.0,right,,
1990-03-11,1.63,,1560126.0,right,double,double
1986-03-13,,,89103.0,right,double,
1994-11-26,1.72,,37343.0,,,
1967-08-02,1.8796,72000.0,3710447.0,right,double,
1990-06-22,1.7,,5464.0,right,double,
1981-07-12,1.75,76200.0,2074962.0,right,double,
1984-05-01,,,145999.0,left,double,
1985-03-07,1.78,,246101.0,right,,
1986-03-25,,,40185.0,right,double,
1991-10-05,1.88,,14478.0,right,double,
1967-05-10,,88452.0,63365.0,right,,
1994-10-08,,,120485.0,right,double,
1982-05-23,1.8,70000.0,363329.0,right,double,
1983-03-31,,,208348.0,right,,
1988-06-29,1.8,,2817697.0,left,double,
1985-01-22,1.78,73000.0,879598.0,right,single,
1974-08-06,1.85,,1836277.0,right,single,
1978-05-21,1.73,,239001.0,right,double,
1976-06-26,1.66,,568774.0,right,double,
1986-03-30,,,26618.0,right,double,
1992-06-30,,,3473.0,,,
1992-11-20,1.63,,65249.0,right,double,
1956-08-07,,,179272.0,,,
1974-03-16,1.93,80000.0,92834.0,right,,
1950-07-09,1.83,81000.0,776187.0,right,single,
1986-12-28,,,100429.0,left,double,
1977-12-26,,,64950.0,,,
1978-05-25,1.75,69000.0,605689.0,right,,
1985-10-28,1.85,,672548.0,right,double,
1993-12-23,,,18679.0,right,double,
1989-03-06,1.73,56000.0,2.2452201E7,right,double,
1995-12-01,,,3360.0,,,
1976-09-14,1.82,,3699134.0,right,single,
1970-03-19,,72576.0,56611.0,right,,
1992-05-24,,,136969.0,right,,
1962-01-25,1.8288,77112.0,26515.0,right,,
1985-03-21,1.72,72600.0,388608.0,right,single,
1975-07-05,1.63,,8128126.0,right,double,
1983-12-28,1.63,,862381.0,right,double,double
1980-03-17,1.83,,2387136.0,right,single,
1982-04-08,1.8,,5328.0,right,,
1993-05-07,1.8,67000.0,1362230.0,right,double,
1984-06-23,1.9,,1456877.0,right,double,
1971-12-24,,59875.2,257054.0,right,,
1968-05-01,,,323382.0,,,
1980-01-12,1.65,,1177175.0,right,double,double
1993-01-29,1.62,,79697.0,right,double,
1984-01-25,,,160615.0,,,
1996-11-29,,,8974.0,,,
1968-12-22,,77112.0,32734.0,right,,
1981-08-11,1.524,79833.6,181136.0,right,double,
1980-08-18,,,6145.0,right,single,
1954-05-09,1.82,,1437443.0,right,single,
1994-03-02,1.8288,,12150.0,right,,
1964-07-03,,,141177.0,,,
1996-03-19,1.65,,57139.0,,,
1970-09-01,1.77,,1294945.0,right,double,
1961-10-22,1.75,,1313808.0,left,,
1973-04-25,1.73,,1829648.0,right,double,
1976-03-10,1.76,67000.0,3109510.0,right,double,
1979-01-27,1.81,,510141.0,left,single,
1995-12-18,1.78,,179744.0,,,
1986-03-28,1.64,,4327536.0,right,double,
1974-08-25,1.8796,,315856.0,left,single,
1969-09-15,,68040.0,465408.0,right,,
1972-08-20,,,92858.0,,,
1983-08-08,,,234068.0,left,single,
1990-05-11,,,51022.0,right,single,
1994-06-21,,,80913.0,right,single,
1980-11-28,1.83,,83216.0,right,single,
1992-04-06,1.75,62000.0,82836.0,right,double,
1993-02-12,,,18016.0,,,
1991-01-01,1.61,55000.0,14529.0,right,double,
1988-11-17,1.63,,204950.0,left,double,
1996-05-30,1.84,,91126.0,,,
1997-03-10,1.75,,2450992.0,right,double,
1965-09-21,,,310585.0,right,double,
1995-01-24,1.73,,8269.0,right,double,
1976-03-12,,75751.2,388461.0,right,,
1962-02-02,1.8542,,375659.0,left,single,
1981-01-10,1.78,,251123.0,right,,
1983-01-15,1.85,85000.0,275090.0,right,double,
1981-06-16,1.78,71668.8,4031768.0,right,double,
1996-06-09,,,2310.0,right,double,
1980-01-03,,78000.0,14351.0,right,,
1993-03-04,,,3194.0,right,double,
1992-11-30,,,254875.0,right,double,
1989-05-05,1.96,,3202196.0,right,double,
1988-01-28,,,19451.0,right,double,
1992-10-21,1.96,77000.0,3766560.0,right,double,
1994-12-03,,,28426.0,left,double,
1971-07-14,1.78,,253056.0,right,,
1968-04-03,1.85,,2043057.0,right,double,
1961-10-20,,68040.0,58589.0,right,,
1986-02-01,,,25254.0,right,double,
1972-05-18,,,39485.0,right,,
1964-05-28,,,263069.0,,,
1985-03-23,1.6764000000000001,,4522295.0,right,,
1988-09-08,1.8,,155059.0,right,double,
1956-10-23,1.75,,1016519.0,right,,
1963-06-13,1.73,,357876.0,right,single,
1968-10-23,,,655479.0,right,single,
1945-06-24,1.8,69800.0,1047356.0,right,,
1962-03-10,1.6,,24763.0,right,,
2000-06-16,1.65,,4651.0,right,double,
1991-06-06,1.78,,95539.0,left,double,
1988-05-13,1.68,,99213.0,right,double,
1978-01-20,,,65804.0,right,double,
1970-06-26,,,145547.0,right,,
1956-11-13,1.85,,1427007.0,right,single,
1943-11-22,1.64,,1966487.0,right,single,
1993-07-19,1.83,,231610.0,right,double,
1956-06-06,1.8,,3655751.0,right,double,
1979-10-04,1.75,70000.0,1983070.0,right,single,
1978-01-05,1.75,69000.0,363014.0,right,double,
1999-01-06,,,2190.0,right,double,
1996-04-21,,,47407.0,right,double,
1987-07-09,1.88,,60116.0,right,,
1993-10-24,,,3795.0,right,,
1987-03-05,1.88,,1496632.0,right,double,
1990-10-05,1.93,,532612.0,left,double,
1978-04-29,1.9304,91627.2,1.3389866E7,left,single,
1960-03-25,1.9304,,174337.0,right,,
1940-01-12,1.8288,,613837.0,right,single,
1947-08-29,1.524,,1165276.0,right,single,
1982-07-17,1.8288,77112.0,1573292.0,right,double,
1975-02-23,1.88,,3553302.0,right,double,
1987-02-10,1.7,,127959.0,right,double,
1991-12-31,1.75,,2124445.0,right,double,
1963-09-11,,,504238.0,right,double,
1967-11-22,1.9,,1.8343408E7,right,single,
1980-11-23,,,24235.0,left,,
1982-11-03,1.8,,832760.0,right,,
1994-11-28,,,14639.0,right,double,
1996-11-14,1.85,,1004925.0,right,double,
1974-07-28,1.9,78000.0,49943.0,right,,
1985-10-24,1.85,80000.0,212757.0,right,,
1958-07-19,,,755546.0,left,,
1961-08-09,1.85,,5509060.0,right,single,
1966-03-21,1.524,70000.0,818850.0,right,double,
1990-08-20,1.83,,539502.0,left,double,
1996-01-03,,,14440.0,right,single,
1965-05-30,1.75,75297.6,167847.0,right,,
1995-07-04,1.9,,24766.0,right,double,
1970-12-28,1.88,77100.0,2620024.0,right,single,
1986-04-08,1.92,93000.0,410076.0,right,double,
1972-01-08,1.78,,144612.0,right,,
1962-12-04,,,94910.0,right,,
1972-07-02,1.8288,,58580.0,right,,
1969-04-27,1.8288,77112.0,2439714.0,right,single,
1985-04-30,1.8288,77112.0,717365.0,right,double,
1979-08-10,1.9,,76398.0,right,,
1984-02-24,1.7,,728653.0,left,double,
1967-07-16,1.8542,,177318.0,right,,
1968-04-08,1.73,,242556.0,right,,
1952-01-27,1.8288,,2782514.0,right,single,
1954-12-23,1.905,,1426514.0,right,single,
1979-07-19,1.8288,,926975.0,right,double,
1982-05-23,1.905,,132648.0,right,,
1980-01-21,1.75,,382708.0,,,
1956-03-20,1.7272,,492338.0,left,,
1983-05-08,,,132941.0,right,single,
1967-04-21,1.75,,361152.0,right,,
1993-07-12,,,48590.0,right,double,
1982-02-27,1.8,77000.0,3088966.0,right,double,
1965-12-22,1.85,,1234108.0,right,double,
1979-12-09,1.74,,539614.0,right,single,
1989-12-31,1.83,,422484.0,right,double,
1960-04-11,,83916.0,98692.0,right,,
1990-06-01,1.8,67000.0,7234.0,right,double,
1998-07-29,,,6863.0,right,double,
1955-06-04,1.9304,,454343.0,right,single,
1969-10-06,,,5159775.0,right,double,double
1964-09-15,1.83,,861245.0,right,,
1993-05-28,1.7,,39306.0,,,
1988-02-22,,,47708.0,right,double,
1979-08-23,,,200051.0,right,double,
1989-05-21,,,180779.0,right,double,
1957-09-05,1.8288,,108448.0,right,,
1959-06-17,,,67880.0,right,,
1997-01-31,1.78,,8180.0,right,double,
1994-01-08,1.71,,12262.0,,,
1963-11-30,,79380.0,29981.0,right,,
1991-06-04,1.9304,,191516.0,right,double,
1988-08-17,,,48093.0,right,double,
1990-08-29,1.524,,48947.0,right,double,
1983-10-03,1.83,,343567.0,right,double,
1987-04-10,,,66332.0,right,double,
1986-11-12,,,77432.0,right,double,
1992-07-05,,,133703.0,,,
1958-10-24,1.9812,,479798.0,right,single,
1994-01-07,,,32395.0,right,double,
2000-02-21,,,4170.0,right,double,double
1979-04-02,1.67,,603590.0,right,double,
1995-02-10,,,22938.0,right,double,
1968-04-29,1.9557999999999998,,208917.0,right,single,
1987-11-27,1.8288,69853.22498,168596.0,right,single,
1954-12-21,1.68,,8895195.0,right,double,
1985-07-30,,,1474899.0,left,single,
1971-04-28,1.78,,1195315.0,left,,
1965-01-13,,,447.0,right,,
1957-03-09,1.8,75000.0,647550.0,right,single,
1970-01-05,1.8,,2400000.0,right,single,
1973-01-02,1.88,82000.0,1903659.0,right,double,
1967-02-20,1.9,,231280.0,right,,
1967-07-19,1.8,68040.0,1262792.0,right,double,
1996-05-30,1.83,,76610.0,right,double,
1994-05-29,1.78,73000.0,70124.0,right,,
1991-11-20,1.93,,177220.0,right,double,
1967-07-05,1.85,,651069.0,right,,
1972-08-24,1.88,,1399813.0,right,double,
1968-07-08,1.9,,738632.0,right,,
1975-09-03,1.83,,482534.0,left,,
1983-11-19,,,56704.0,right,double,
1992-05-11,1.7,,2248571.0,right,double,
1994-04-29,,,46625.0,,,
1968-07-27,1.76,,517879.0,,,
1982-04-15,1.61,55000.0,357140.0,right,double,
1962-10-23,1.86,,1928431.0,right,single,
1978-12-15,1.7,68000.0,2312971.0,right,double,
1957-07-08,1.88,,8937.0,right,single,
1974-06-21,,83916.0,249730.0,right,,
1990-03-14,,,27499.0,right,double,
1980-06-13,1.87,,1250650.0,right,double,
1990-01-14,1.74,,28943.0,right,,
1973-02-24,,,298427.0,right,double,
1985-01-10,1.68,,1427673.0,right,double,
1971-04-23,1.8542,,818519.0,right,,
1977-01-29,,,34345.0,right,,
1996-05-19,1.85,,402921.0,right,double,
1999-04-08,1.68,,145344.0,,,
1992-11-25,,,75672.0,right,double,
1978-03-24,,,189446.0,right,double,
1971-03-06,1.96,,24735.0,right,,
1978-03-10,1.73,59000.0,62153.0,right,,
1986-02-28,1.78,67000.0,489036.0,left,single,
2000-05-25,,,19595.0,right,double,
1986-07-18,,,87275.0,left,double,
1968-03-08,,,564182.0,right,double,
1981-08-28,1.79,,678184.0,left,double,
1990-07-18,,,79867.0,right,double,
1963-12-11,1.87,,2227116.0,right,single,
1996-02-29,,,6050.0,,,
1983-08-20,1.69,,542186.0,right,double,
1985-07-25,1.8,,135321.0,right,double,
1960-02-02,1.78,,455711.0,right,,
1992-05-04,1.98,,9570.0,right,double,
1972-01-19,,77112.0,63729.0,right,,
1994-11-16,1.73,,40308.0,right,double,
1961-05-08,,,198638.0,,,
1984-07-16,,,43924.0,right,,
1991-12-06,1.85,,2186512.0,right,double,
1955-05-12,1.8542,,327277.0,right,,
1984-08-13,,,984029.0,right,,
1995-12-07,1.8796,83916.0,49422.0,right,double,
1972-04-16,1.73,,1.1527977E7,right,single,
1976-01-20,1.71,,618599.0,right,double,
1990-12-25,,,131082.0,,,
1981-09-19,1.85,82000.0,247686.0,right,double,
1990-11-09,,,74739.0,right,double,
1992-05-23,,,43387.0,right,double,
1997-06-06,,,3733.0,left,double,
1978-01-26,,,1733916.0,,,
1989-07-30,,,360889.0,right,double,
1994-05-26,,,19650.0,,,
1953-02-19,1.78,,775783.0,right,single,
1990-09-01,1.88,,19732.0,left,double,
1982-09-29,,,46599.0,right,double,
1962-10-18,,,139258.0,right,,
1963-07-18,1.905,,65931.0,right,,
1990-06-24,,,28228.0,right,double,
1982-01-20,1.8,,191594.0,right,,
1970-05-24,1.78,,1368916.0,right,single,
1993-01-18,,,107554.0,right,double,
1974-09-12,1.71,,1000722.0,right,double,
1990-08-01,,,64767.0,right,double,
1987-08-02,1.68,,13152.0,,,
1970-08-14,1.82,79000.0,2452512.0,right,double,
1975-08-16,1.91,,1391440.0,right,single,
1967-01-29,1.8,80000.0,3651530.0,right,double,
1960-02-22,1.8,,986595.0,right,single,
1969-06-15,1.87,,6921029.0,right,single,
1990-01-25,1.89,,134027.0,right,double,
1981-07-10,1.75,67000.0,150209.0,right,,
1975-06-02,,,663007.0,right,double,
1986-05-27,,,214144.0,right,double,
1988-02-19,1.74,,48353.0,right,single,
1995-01-28,1.88,,50942.0,right,double,
1991-02-03,,,42541.0,right,double,
1995-09-29,,,9917.0,right,double,
1996-08-24,,,13238.0,,,
1991-12-30,1.68,,1739263.0,right,double,
1992-10-30,,,34820.0,,,
1966-02-06,,,663698.0,left,double,
1981-08-25,1.62,,980663.0,right,double,
1968-10-11,,,360722.0,,,
1979-02-17,1.524,,7687467.0,right,double,
1962-07-25,,,150183.0,,,
1995-02-16,1.76,,621670.0,right,double,
1967-09-01,1.8,,2320082.0,left,double,
1988-09-03,1.62,62000.0,7185361.0,right,single,
1981-05-15,,,111865.0,left,double,
1982-11-09,1.85,,144873.0,left,,
1967-10-09,1.68,,643347.0,right,double,
1983-02-03,1.82,,3351596.0,right,single,
1968-04-22,1.82,,3134189.0,right,single,
1983-06-01,1.8,,83404.0,right,,
1956-06-06,1.75,,121831.0,right,,
1950-09-23,1.72,,570207.0,right,,
1976-08-27,1.9,86000.0,1.3390822E7,right,double,
1983-01-15,1.96,,304508.0,left,double,
1964-10-19,1.524,,173556.0,left,,
1986-11-26,1.78,,541215.0,right,double,
1987-01-08,1.72,,118907.0,,,
1995-06-20,1.65,,83776.0,right,double,
1992-06-10,,,39202.0,right,double,
1996-04-23,,,10198.0,right,double,
